personID,filename,chirp_wer,Deepgram_wer,googleSTT_wer,whisper_wer,seamless_wer
8,ps120_LP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps121_LP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps122_LP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps123_LP,0.125,0.125,0.125,0.125,0.125
8,ps124_LP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps125_LP,0.14285714285714285,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps001_HP,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps002_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps003_HP,0.125,0.375,0.125,0.125,0.125
8,ps004_HP,0.125,0.125,0.25,0.125,0.125
8,ps005_HP,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps006_HP,0.125,0.375,0.125,0.125,0.125
8,ps007_HP,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857
8,ps008_HP,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857
8,ps009_HP,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps010_HP,0.125,0.125,0.5,0.125,0.125
8,ps011_HP,0.125,0.375,0.375,0.125,0.125
8,ps012_HP,0.2,0.2,0.2,0.2,0.2
8,ps013_HP,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps014_HP,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps015_HP,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
8,ps016_HP,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps017_HP,0.125,0.375,0.5,0.125,0.25
8,ps018_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
